date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:34:42	12295/12295	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2020:39:31%20GMT	https://zenovasoftware.wuaze.com/	C:/Users/Aras/Documents/Espin/zenovasoftware.wuaze.com/index.html	(from )
20:34:42	796/796	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Jan%202025%2017:34:40%20GMT	https://zenovasoftware.wuaze.com/robots.txt		(from )
20:34:42	2438/2438	---M-Z	200	added ('OK')	image/x-icon	date:Thu,%2016%20Jan%202025%2020:41:32%20GMT	https://zenovasoftware.wuaze.com/assets/img/favicon.ico	C:/Users/Aras/Documents/Espin/zenovasoftware.wuaze.com/assets/img/favicon.ico	(from https://zenovasoftware.wuaze.com/)
20:34:42	796/796	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2020:41:32%20GMT	https://zenovasoftware.wuaze.com/assets/img/favicon.html	C:/Users/Aras/Documents/Espin/zenovasoftware.wuaze.com/assets/img/favicon.html	(from https://zenovasoftware.wuaze.com/)
20:34:42	796/796	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Jan%202025%2017:34:42%20GMT	https://zenovasoftware.wuaze.com/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	C:/Users/Aras/Documents/Espin/zenovasoftware.wuaze.com/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	(from https://zenovasoftware.wuaze.com/)
20:34:43	17368/17368	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Jan%202025%2020:40:57%20GMT	https://zenovasoftware.wuaze.com/assets/css/index.css	C:/Users/Aras/Documents/Espin/zenovasoftware.wuaze.com/assets/css/index.css	(from https://zenovasoftware.wuaze.com/)
20:34:43	262593/262593	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jan%202025%2020:41:33%20GMT	https://zenovasoftware.wuaze.com/assets/img/logo.png	C:/Users/Aras/Documents/Espin/zenovasoftware.wuaze.com/assets/img/logo.png	(from https://zenovasoftware.wuaze.com/)
20:34:43	15617/15617	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2020:42:18%20GMT	https://zenovasoftware.wuaze.com/legal/terms.html	C:/Users/Aras/Documents/Espin/zenovasoftware.wuaze.com/legal/terms.html	(from https://zenovasoftware.wuaze.com/)
20:34:44	14983/14983	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2020:42:18%20GMT	https://zenovasoftware.wuaze.com/legal/privacy.html	C:/Users/Aras/Documents/Espin/zenovasoftware.wuaze.com/legal/privacy.html	(from https://zenovasoftware.wuaze.com/)
20:34:44	14515/14515	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2020:42:18%20GMT	https://zenovasoftware.wuaze.com/legal/refund.html	C:/Users/Aras/Documents/Espin/zenovasoftware.wuaze.com/legal/refund.html	(from https://zenovasoftware.wuaze.com/)
20:34:44	2346828/2346828	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jan%202025%2020:44:26%20GMT	https://zenovasoftware.wuaze.com/assets/img/categories/cheats.png	C:/Users/Aras/Documents/Espin/zenovasoftware.wuaze.com/assets/img/categories/cheats.png	(from https://zenovasoftware.wuaze.com/)
20:34:44	168595/168595	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jan%202025%2020:44:24%20GMT	https://zenovasoftware.wuaze.com/assets/img/categories/spoofers.png	C:/Users/Aras/Documents/Espin/zenovasoftware.wuaze.com/assets/img/categories/spoofers.png	(from https://zenovasoftware.wuaze.com/)
20:34:45	421866/421866	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jan%202025%2020:42:35%20GMT	https://zenovasoftware.wuaze.com/uploads/account.png	C:/Users/Aras/Documents/Espin/zenovasoftware.wuaze.com/uploads/account.png	(from https://zenovasoftware.wuaze.com/)
20:34:45	7495/7495	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2016%20Jan%202025%2020:41:51%20GMT	https://zenovasoftware.wuaze.com/assets/js/index.js	C:/Users/Aras/Documents/Espin/zenovasoftware.wuaze.com/assets/js/index.js	(from https://zenovasoftware.wuaze.com/)
20:34:45	12295/12295	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2020:39:31%20GMT	https://zenovasoftware.wuaze.com/index.html	C:/Users/Aras/Documents/Espin/zenovasoftware.wuaze.com/index-2.html	(from https://zenovasoftware.wuaze.com/legal/terms.html)
20:34:46	1861201/1861201	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jan%202025%2020:41:34%20GMT	https://zenovasoftware.wuaze.com/assets/img/hero-bg.png	C:/Users/Aras/Documents/Espin/zenovasoftware.wuaze.com/assets/img/hero-bg.png	(from https://zenovasoftware.wuaze.com/assets/css/index.css)
